Nombre;Descripcion;Categoria;Etiquetas;Precio;URL FOTO
Blanqueador Clorox Original + Anti Splash;Botella x 1800 ml;Aseo Hogar;Blanqueadores;8100;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3526313-750-750/7702213640556.jpg?v=637294091921800000
Blanqueador Clorox Original;Botella x 1000 ml;Aseo Hogar;Blanqueadores;3800;https://supermercadocomunal.com/1182-large_default/blanqueador-clorox-original-1000-ml.jpg
Blanqueador Clorox Citrica;Botella x 1000 ml;Aseo Hogar;Blanqueadores;3700;https://metrocolombiafood.vteximg.com.br/arquivos/ids/282679-1000-1000/7702137622942.jpg?v=637340715519670000
Blanqueador Limpido;Botella x 3800 ml;Aseo Hogar;Blanqueadores;10700;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3502989-750-750/7702137636864.jpg?v=637248290056070000
Blanqueador Limpido + Botella 450 ml;Botella x 1800 ml;Aseo Hogar;Blanqueadores;6300;https://www.mayordomo.com.co/images/products/md1599685186.jpg
Blanqueador Limpido;Botella x 1000 ml;Aseo Hogar;Blanqueadores;3200;https://i2.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2018/12/limpido_la_nregrita_1000cc.jpg?fit=1000%2C1000&ssl=1
Blanqueador Blancox Poder Natural;Botella x 2000 ml;Aseo Hogar;Blanqueadores;6300;https://supermercadocomunal.com/7436-large_default/blanqueador-blancox-poder-natural-2000.jpg
Blanqueador Blancox Flor Vital;Botella x 2000 ml;Aseo Hogar;Blanqueadores;7200;https://mercaldas.vteximg.com.br/arquivos/ids/183392-1300-1300/Blanqueador-BLANCOX-Vital-Con-Extra-Cont-x2-Lt.jpg?v=636996793602500000
Blanqueador Blancox Poder Natural;Botella x 1000 ml;Aseo Hogar;Blanqueadores;3500;https://mercaldas.vteximg.com.br/arquivos/ids/183429-1300-1300/Blanqueador-BLANCOX-1-Lt-Corriente-Corriente.jpg?v=636996793761700000
Blanqueador Blancox Flor Vital;Botella x 1000 ml;Aseo Hogar;Blanqueadores;3500;https://mercaldas.vteximg.com.br/arquivos/ids/183431-400-400/Blanqueador-BLANCOX-1-Lt-Floral-Frasco.jpg?v=636996793766870000
Blanqueador Mi Dia;Botella x 1800 ml;Aseo Hogar;Blanqueadores;2800;https://www.corbeta.com.co/media/catalog/product/7/7/7705946314800-b.jpg
Blanqueador Dersa ;Galon 4 lts;Aseo Hogar;Blanqueadores;8900;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3536531-1000-1000/7702166007901.jpg?v=637340620185500000
Limpia Vidrios Easy-Off;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;3900;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472554-750-750/7702626211664-1.jpg?v=637116805522830000
Limpia Vidrios Easy-Off;Bolsa x 900 ml;Aseo Hogar;Limpieza de Superficies;7900;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3528628-1000-1000/7702626218601.jpg?v=637303296990000000
Limpia Vidrios La Catleya ;Botella x 1000 ml;Aseo Hogar;Limpieza de Superficies;5300;https://lacatleya.com/wp-content/uploads/2020/06/Limpia-vidrios-pague-500-pague-1000.jpg
Limpia Vidrios Magistral;Botella x 500 ml;Aseo Hogar;Limpieza de Superficies;4500;https://mercaldas.vteximg.com.br/arquivos/ids/198931-400-400/Limpiavidrios-MAGISTRAL500-Repuesto-Frasco_17483.jpg?v=637348638480030000
Limpia Vidrios Mi Dia;Botella x 500 ml;Aseo Hogar;Limpieza de Superficies;3900;https://www.corbeta.com.co/media/catalog/product/7/7/7701023036009_2.png
Shampoo H&S Control Grasa;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472318-750-750/7500435019583.jpg?v=637115240645270000
Shampoo H&S Nutricion Profunda;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://farmacityar.vteximg.com.br/arquivos/ids/184962-1000-1000/206047_Shampoo-Head-and-Shoulders-Nutricion-Profunda-x-375-Ml-imagen-1.jpg?v=636932769747500000
Shampoo H&S Limpieza Renovadora;Botella x 375 ml;Cuidado Personal;Shampoo;17800;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472309-750-750/7500435020008.jpg?v=637115236608930000
